what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228769892497
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228769952715
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1228769954450
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1228769969372
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1228769978778
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1228769980731
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1228769982950
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228769989262
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228769989872
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1228769989918
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.selectAll,1228770011825
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1228770012200
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770012872
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770023981
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1228770025934
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770026387
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770026387
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770026465
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770040465
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1228770050512
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1228770085231
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1228770086840
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.cut,1228770096668
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770104028
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770115590
