what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770335184
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770336168
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770336481
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770336481
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770336575
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770347512
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1228770387543
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1228770389528
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770416434
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770502075
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1228770543325
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1228770545778
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770553918
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770580559
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1228770582700
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1228770587309
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1228770587372
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1228770626434
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1228770626434
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1228770630731
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770644293
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770702028
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1228770705325
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770709122
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770709122
