what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770709231
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770710512
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1228770751997
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770754450
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770754465
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770754559
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770768637
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770769918
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770769934
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770769997
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770799434
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1228770843590
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1228770847872
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1228770849215
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1228770853028
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770853840
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770853856
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770853934
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770855637
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228770857200
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228771088762
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228771090450
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1228782776156
started,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1228782776921
started,bundle,org.eclipse.mylyn.pde.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.pde.ui,1228782776984
